Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$160,800.00 ",
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,"$136,362.00 ",
CIVIL ENGINEER IV,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,"$137,436.00 ",
ATTORNEY - EXCLUDED,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$131,124.00 ",
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$51.40 
SENIOR SECURITY ANALYST,DEPARTMENT OF TECHNOLOGY AND INNOVATION,F,SALARY,,"$120,144.00 ",
ELECTRICAL MECHANIC,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$57.75 
FOSTER GRANDPARENT,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,$4.73 
POLICE OFFICER / FLD TRNG OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$117,054.00 ",
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$101,052.00 ",
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$134,292.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$115,686.00 ",
LIEUTENANT-PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$134,028.00 ",
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$138,510.00 ",
FIREFIGHTER/PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$108,444.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$93,186.00 ",
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$114,570.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$93,186.00 ",
AIRPORT OPERATIONS SUPVSR I,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$78,912.00 ",
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$48.73 
CIVIL ENGINEER IV,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,"$99,528.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$123,444.00 ",
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$104,430.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,F,SALARY,,"$47,628.00 ",
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$98,904.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$102,822.00 ",
AVIATION COMMUNICATIONS OPERATOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$72,348.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
ASST DIR OF INFORMATION SYSTEMS,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,"$146,808.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
PROJECTS ADMINISTRATOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,"$102,444.00 ",
ELECTRONICS TECHNICIAN,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,$57.75 
TRAFFIC ENGINEER IV,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,"$119,352.00 ",
ASST INSPECTOR GENERAL,OFFICE OF INSPECTOR GENERAL,F,SALARY,,"$115,992.00 ",
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,"$127,620.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,"$108,432.00 ",
SANITATION CLERK,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,"$87,480.00 ",
PROJECT COORD,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$82,716.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$48.73 
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,$48.73 
OPERATING ENGINEER-GROUP C,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$58.95 
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,"$114,654.00 ",
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,$46.26 
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,"$104,328.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$123,444.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
ELECTRICAL MECHANIC,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$57.75 
SENIOR ENVIRONMENTAL INSPECTOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$121,212.00 ",
PUBLIC HEALTH NURSE II,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,"$98,496.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$111,804.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
FOREMAN OF WATER PIPE CONSTRUCTION,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,$64.15 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$98,010.00 ",
AUDITOR II,DEPARTMENT OF FINANCE,F,SALARY,,"$90,228.00 ",
CIVIL ENGINEER III,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,"$125,856.00 ",
POLICE OFFICER (ASSIGNED AS DETECTIVE),CHICAGO POLICE DEPARTMENT,F,SALARY,,"$140,574.00 ",
FOREMAN OF CONSTRUCTION LABORERS,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,$52.50 
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$108,012.00 ",
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,"$119,976.00 ",
